"指标名称","肿瘤类型","年","国家的名字","区域","性别","区域","数字","置信下限","置信上限","评论",
"因非传染性疾病过早死亡的概率","","2019","俄罗斯联邦","欧洲区域","男性","","35.00043","28.5099","41.43433","",
"因非传染性疾病过早死亡的概率","","2019","俄罗斯联邦","欧洲区域","女性","","15.24968","12.1837","18.64662","",
"因非传染性疾病过早死亡的概率","","2019","厄瓜多尔","美洲区域","总计","","11.03699","7.48451","15.56639","",
"因非传染性疾病过早死亡的概率","","2019","厄瓜多尔","美洲区域","男性","","11.79355","7.98277","16.6803","",
"因非传染性疾病过早死亡的概率","","2019","厄瓜多尔","美洲区域","女性","","10.33245","7.02229","14.5238","",
"因非传染性疾病过早死亡的概率","","2019","厄立特里亚","非洲区域","总计","","26.80168","15.71646","40.18379","",
"因非传染性疾病过早死亡的概率","","2019","厄立特里亚","非洲区域","男性","","29.49623","17.48645","43.46904","",
"因非传染性疾病过早死亡的概率","","2019","厄立特里亚","非洲区域","女性","","24.34764","14.13601","37.11861","",
"因非传染性疾病过早死亡的概率","","2019","法国","欧洲区域","总计","","10.58292","8.20232","13.45291","",
"因非传染性疾病过早死亡的概率","","2019","法国","欧洲区域","男性","","14","10.97299","17.56522","",
"因非传染性疾病过早死亡的概率","","2019","法国","欧洲区域","女性","","7.33377","5.59027","9.50485","",
"因非传染性疾病过早死亡的概率","","2019","菲律宾","西太平洋区域","总计","","24.52524","18.16832","31.40819","",
"因非传染性疾病过早死亡的概率","","2019","菲律宾","西太平洋区域","男性","","30.40364","22.65288","38.43796","",
"因非传染性疾病过早死亡的概率","","2019","菲律宾","西太平洋区域","女性","","18.84844","13.94383","24.44852","",
"因非传染性疾病过早死亡的概率","","2019","斐济","西太平洋区域","总计","","37.6787","26.94587","49.05193","",
"因非传染性疾病过早死亡的概率","","2019","斐济","西太平洋区域","男性","","41.83677","30.6192","53.55893","",
"因非传染性疾病过早死亡的概率","","2019","斐济","西太平洋区域","女性","","33.4329","23.23131","44.36161","",
"因非传染性疾病过早死亡的概率","","2019","芬兰","欧洲区域","总计","","9.60175","7.4947","11.96204","",
"因非传染性疾病过早死亡的概率","","2019","芬兰","欧洲区域","男性","","12.40962","9.85703","15.24655","",
"因非传染性疾病过早死亡的概率","","2019","芬兰","欧洲区域","女性","","6.84981","5.19733","8.71861","",
"因非传染性疾病过早死亡的概率","","2019","佛得角","非洲区域","总计","","17.44297","11.58413","24.71613","",
"因非传染性疾病过早死亡的概率","","2019","佛得角","非洲区域","男性","","23.17329","15.60332","32.17164","",
"因非传染性疾病过早死亡的概率","","2019","佛得角","非洲区域","女性","","12.69489","8.35738","18.29744","",
"因非传染性疾病过早死亡的概率","","2019","冈比亚","非洲区域","总计","","21.08724","12.62235","31.65806","",
"因非传染性疾病过早死亡的概率","","2019","冈比亚","非洲区域","男性","","22.22766","13.41919","33.24483","",
"因非传染性疾病过早死亡的概率","","2019","冈比亚","非洲区域","女性","","19.97002","11.83827","30.1038","",
"因非传染性疾病过早死亡的概率","","2019","刚果","非洲区域","总计","","22.59979","13.57831","33.64114","",
"因非传染性疾病过早死亡的概率","","2019","刚果","非洲区域","男性","","22.96151","13.99747","33.79922","",
"因非传染性疾病过早死亡的概率","","2019","刚果","非洲区域","女性","","22.31896","13.22428","33.55244","",
"因非传染性疾病过早死亡的概率","","2019","刚果民主共和国","非洲区域","总计","","24.04843","13.74589","37.51797","",
"因非传染性疾病过早死亡的概率","","2019","刚果民主共和国","非洲区域","男性","","25.97752","15.01108","40.10717","",
"因非传染性疾病过早死亡的概率","","2019","刚果民主共和国","非洲区域","女性","","22.24394","12.57787","35.04904","",
"因非传染性疾病过早死亡的概率","","2019","哥伦比亚","美洲区域","总计","","9.73468","6.71688","13.64639","",
"因非传染性疾病过早死亡的概率","","2019","哥伦比亚","美洲区域","男性","","10.77118","7.37633","15.15564","",
"因非传染性疾病过早死亡的概率","","2019","哥伦比亚","美洲区域","女性","","8.85334","6.15947","12.35457","",
"因非传染性疾病过早死亡的概率","","2019","哥斯达黎加","美洲区域","总计","","9.53475","6.444","13.49185","",
"因非传染性疾病过早死亡的概率","","2019","哥斯达黎加","美洲区域","男性","","11.04941","7.47364","15.54812","",
"因非传染性疾病过早死亡的概率","","2019","哥斯达黎加","美洲区域","女性","","8.08026","5.46109","11.50373","",
"因非传染性疾病过早死亡的概率","","2019","格林纳达","美洲区域","总计","","23.34891","17.75504","29.58058","",
"因非传染性疾病过早死亡的概率","","2019","格林纳达","美洲区域","男性","","26.3148","20.27391","32.98113","",
"因非传染性疾病过早死亡的概率","","2019","格林纳达","美洲区域","女性","","20.19991","15.10399","25.93336","",
"因非传染性疾病过早死亡的概率","","2019","格鲁吉亚","欧洲区域","总计","","24.89242","18.92348","31.36921","",
"因非传染性疾病过早死亡的概率","","2019","格鲁吉亚","欧洲区域","男性","","35.54576","27.66794","43.60329","",
"因非传染性疾病过早死亡的概率","","2019","格鲁吉亚","欧洲区域","女性","","15.24941","11.27948","19.85242","",
"因非传染性疾病过早死亡的概率","","2019","古巴","美洲区域","总计","","16.58107","11.96301","21.7553","",
"因非传染性疾病过早死亡的概率","","2019","古巴","美洲区域","男性","","19.8425","14.6045","25.78689","",
"因非传染性疾病过早死亡的概率","","2019","古巴","美洲区域","女性","","13.46613","9.46397","17.85751","",
"因非传染性疾病过早死亡的概率","","2019","圭亚那","美洲区域","总计","","29.18983","20.91325","38.59834","",
"因非传染性疾病过早死亡的概率","","2019","圭亚那","美洲区域","男性","","32.05956","23.04799","42.13848","",
"因非传染性疾病过早死亡的概率","","2019","圭亚那","美洲区域","女性","","26.42193","18.87875","35.13477","",
"因非传染性疾病过早死亡的概率","","2019","哈萨克斯坦","欧洲区域","总计","","22.41804","16.86348","28.39697","",
"因非传染性疾病过早死亡的概率","","2019","哈萨克斯坦","欧洲区域","男性","","31.1368","23.70256","38.68264","",
"因非传染性疾病过早死亡的概率","","2019","哈萨克斯坦","欧洲区域","女性","","15.28502","11.46773","19.67597","",
"因非传染性疾病过早死亡的概率","","2019","海地","美洲区域","总计","","31.33782","17.91679","47.98646","",
"因非传染性疾病过早死亡的概率","","2019","海地","美洲区域","男性","","29.92362","17.54618","45.73589","",
"因非传染性疾病过早死亡的概率","","2019","海地","美洲区域","女性","","32.60979","18.26579","49.96424","",
"因非传染性疾病过早死亡的概率","","2019","荷兰王国","欧洲区域","总计","","10.34735","8.06548","12.84101","",
"因非传染性疾病过早死亡的概率","","2019","荷兰王国","欧洲区域","男性","","11.61041","9.17644","14.36951","",
"因非传染性疾病过早死亡的概率","","2019","荷兰王国","欧洲区域","女性","","9.08721","6.95959","11.30988","",
"因非传染性疾病过早死亡的概率","","2019","黑山","欧洲区域","总计","","22.3043","16.2405","29.32362","",
"因非传染性疾病过早死亡的概率","","2019","黑山","欧洲区域","男性","","28.61395","21.05881","37.09778","",
"因非传染性疾病过早死亡的概率","","2019","黑山","欧洲区域","女性","","15.97095","11.52311","21.27639","",
"因非传染性疾病过早死亡的概率","","2019","洪都拉斯","美洲区域","总计","","18.67587","10.75096","28.91428","",
"因非传染性疾病过早死亡的概率","","2019","洪都拉斯","美洲区域","男性","","17.87441","10.6045","27.18184","",
"因非传染性疾病过早死亡的概率","","2019","洪都拉斯","美洲区域","女性","","19.42576","10.90803","30.47968","",
"因非传染性疾病过早死亡的概率","","2019","基里巴斯","西太平洋区域","总计","","50.84999","35.26263","65.98624","",
"因非传染性疾病过早死亡的概率","","2019","基里巴斯","西太平洋区域","男性","","58.35062","41.65634","73.51211","",
"因非传染性疾病过早死亡的概率","","2019","基里巴斯","西太平洋区域","女性","","43.67183","29.47298","58.23376","",
"因非传染性疾病过早死亡的概率","","2019","吉布提","东地中海区域","总计","","22.01451","12.33033","34.83617","",
"因非传染性疾病过早死亡的概率","","2019","吉布提","东地中海区域","男性","","23.42587","13.33946","36.89882","",
"因非传染性疾病过早死亡的概率","","2019","吉布提","东地中海区域","女性","","20.59985","11.32003","32.74701","",
"因非传染性疾病过早死亡的概率","","2019","吉尔吉斯斯坦","欧洲区域","总计","","20.33676","16.10738","24.97105","",
"因非传染性疾病过早死亡的概率","","2019","吉尔吉斯斯坦","欧洲区域","男性","","26.54138","21.22513","32.03498","",
"因非传染性疾病过早死亡的概率","","2019","吉尔吉斯斯坦","欧洲区域","女性","","15.01775","11.79945","18.81419","",
"因非传染性疾病过早死亡的概率","","2019","几内亚","非洲区域","总计","","24.90209","15.22445","36.70227","",
"因非传染性疾病过早死亡的概率","","2019","几内亚","非洲区域","男性","","24.87503","15.10867","37.0271","",
"因非传染性疾病过早死亡的概率","","2019","几内亚","非洲区域","女性","","24.95325","15.32421","36.53301","",
"因非传染性疾病过早死亡的概率","","2019","几内亚比绍","非洲区域","总计","","24.85319","15.36146","36.31793","",
"因非传染性疾病过早死亡的概率","","2019","几内亚比绍","非洲区域","男性","","27.3855","17.17514","39.42783","",
"因非传染性疾病过早死亡的概率","","2019","几内亚比绍","非洲区域","女性","","22.98446","14.03063","33.99062","",
"因非传染性疾病过早死亡的概率","","2019","加拿大","美洲区域","总计","","9.61899","7.59194","12.02558","",
"因非传染性疾病过早死亡的概率","","2019","加拿大","美洲区域","男性","","11.24308","9.00187","13.93293","",
"因非传染性疾病过早死亡的概率","","2019","加拿大","美洲区域","女性","","8.01182","6.20036","10.13148","",
"因非传染性疾病过早死亡的概率","","2019","加纳","非洲区域","总计","","22.46803","14.13174","32.46683","",
